image_id,proposal_id,predicted_class,score,bbox_x1,bbox_y1,bbox_x2,bbox_y2,visual_validity,evidence_strength,recommended_action,inspection_status,mllm_prior_status,llm_final_status,llm_final_decision,llm_final_confidence,final_decision,final_decision_source,fallback_used,gt_correct,tp_fp_fn_label_for_eval,max_iou_same_class,matched_gt_id,degenerate_bbox,score_baseline_020,deterministic_gate_256,candidate_pool_selected,candidate_reasons,optional_tool_plan_status,optional_tool_plan_selected,optional_tools_used
3,0,car,0.415771484375,443.0,15.0,582.0,300.0,invalid,strong,drop,success,success,success,drop,high,drop,llm_final_decision,False,False,tn,0.0,-1,False,keep,drop,True,border_touching|duplicate_cluster|top_score_sanity_check,success,retrieve_same_class_image_crops|retrieve_class_exemplars,same_class_image_crops|class_exemplars
3,1,car,0.2861328125,457.0,15.0,567.0,129.0,invalid,strong,drop,success,success,success,drop,high,drop,llm_final_decision,False,False,tn,0.0,-1,False,keep,drop,True,uncertain_score_band|border_touching|top_score_sanity_check,not_called,,
3,2,dog,0.167236328125,7.0,683.0,95.0,684.0,unavailable,unavailable,drop,not_candidate_heuristic,success,not_called,drop,,drop,deterministic_gate,True,False,tn,0.0,-1,True,drop,drop,False,,not_called,,
3,3,boat,0.1636962890625,443.0,15.0,582.0,300.0,invalid,strong,drop,success,success,success,drop,high,drop,llm_final_decision,False,False,tn,0.0,-1,False,drop,drop,True,uncertain_score_band|border_touching|duplicate_cluster,success,retrieve_class_exemplars,class_exemplars
3,4,bird,0.1510009765625,7.0,683.0,95.0,684.0,unavailable,unavailable,drop,not_candidate_heuristic,success,not_called,drop,,drop,deterministic_gate,True,False,tn,0.0,-1,True,drop,drop,False,,not_called,,
3,5,chair,0.138427734375,443.0,15.0,582.0,300.0,invalid,strong,drop,success,success,success,drop,high,drop,llm_final_decision,False,False,tn,0.0,-1,False,drop,drop,True,uncertain_score_band|border_touching|duplicate_cluster,success,retrieve_same_class_image_crops|retrieve_class_exemplars,same_class_image_crops|class_exemplars
3,6,boat,0.11029052734375,38.0,19.0,219.0,261.0,invalid,strong,drop,success,success,success,drop,high,drop,llm_final_decision,False,False,tn,0.0,-1,False,drop,drop,True,uncertain_score_band|border_touching,not_called,,
3,7,cat,0.100341796875,7.0,683.0,95.0,684.0,unavailable,unavailable,drop,not_candidate_heuristic,success,not_called,drop,,drop,deterministic_gate,True,False,tn,0.0,-1,True,drop,drop,False,,not_called,,
5,0,car,0.4833984375,0.0,158.0,637.0,640.0,invalid,strong,drop,success,success,success,drop,high,drop,llm_final_decision,False,False,tn,0.0,-1,False,keep,drop,True,border_touching|duplicate_cluster|top_score_sanity_check,success,retrieve_same_class_image_crops,same_class_image_crops
5,1,cow,0.34912109375,0.0,158.0,637.0,640.0,invalid,strong,drop,success,success,success,drop,high,drop,llm_final_decision,False,False,tn,0.0,-1,False,keep,drop,True,border_touching|duplicate_cluster|top_score_sanity_check,success,retrieve_class_exemplars,class_exemplars
5,2,sofa,0.1553955078125,0.0,158.0,637.0,640.0,invalid,strong,drop,success,success,success,drop,high,drop,llm_final_decision,False,False,tn,0.0,-1,False,drop,drop,True,uncertain_score_band|border_touching|duplicate_cluster,success,retrieve_same_class_image_crops,same_class_image_crops
5,3,train,0.12213134765625,0.0,158.0,637.0,640.0,invalid,strong,drop,success,success,success,drop,high,drop,llm_final_decision,False,False,tn,0.0,-1,False,drop,drop,True,uncertain_score_band|border_touching|duplicate_cluster,success,retrieve_class_exemplars,class_exemplars
5,4,tvmonitor,0.10394287109375,0.0,158.0,637.0,640.0,invalid,strong,drop,success,success,success,drop,high,drop,llm_final_decision,False,False,tn,0.0,-1,False,drop,drop,True,uncertain_score_band|border_touching|duplicate_cluster,success,retrieve_same_class_image_crops,same_class_image_crops
9,0,tvmonitor,0.90673828125,57.0,101.0,386.0,640.0,valid,strong,keep,success,success,success,keep,high,keep,llm_final_decision,False,True,tp,0.630234,0,False,keep,keep,True,border_touching|duplicate_cluster|top_score_sanity_check,success,retrieve_same_class_image_crops|retrieve_class_exemplars,same_class_image_crops|class_exemplars
9,1,tvmonitor,0.34765625,243.0,134.0,616.0,633.0,invalid,strong,drop,success,success,success,drop,high,drop,llm_final_decision,False,False,tn,0.175827,0,False,keep,drop,True,border_touching|duplicate_cluster|top_score_sanity_check,success,retrieve_same_class_image_crops|retrieve_class_exemplars,same_class_image_crops|class_exemplars
9,2,tvmonitor,0.1304931640625,58.0,105.0,614.0,640.0,invalid,strong,drop,success,success,success,drop,high,drop,llm_final_decision,False,False,tn,0.386947,0,False,drop,drop,True,uncertain_score_band|border_touching|duplicate_cluster,success,retrieve_same_class_image_crops|retrieve_class_exemplars,same_class_image_crops|class_exemplars
10,0,person,0.7333984375,323.0,290.0,554.0,668.0,invalid,strong,drop,success,success,success,drop,high,drop,llm_final_decision,False,False,tn,0.172479,0,False,keep,drop,True,border_touching|duplicate_cluster|top_score_sanity_check,success,retrieve_same_class_image_crops,same_class_image_crops
10,1,pottedplant,0.39501953125,338.0,90.0,640.0,668.0,invalid,strong,drop,success,success,success,drop,high,drop,llm_final_decision,False,False,tn,0.0,-1,False,keep,drop,True,border_touching|duplicate_cluster|top_score_sanity_check,success,retrieve_same_class_image_crops|retrieve_class_exemplars,same_class_image_crops|class_exemplars
10,2,pottedplant,0.259521484375,3.0,94.0,399.0,668.0,invalid,strong,drop,success,success,success,drop,high,drop,llm_final_decision,False,False,tn,0.0,-1,False,keep,drop,True,uncertain_score_band|border_touching|duplicate_cluster,success,retrieve_same_class_image_crops|retrieve_class_exemplars,same_class_image_crops|class_exemplars
10,3,pottedplant,0.23828125,3.0,93.0,554.0,668.0,invalid,strong,drop,success,success,success,drop,high,drop,llm_final_decision,False,False,tn,0.0,-1,False,keep,drop,True,uncertain_score_band|border_touching|duplicate_cluster,success,retrieve_same_class_image_crops,same_class_image_crops
10,4,pottedplant,0.181884765625,461.0,92.0,640.0,608.0,invalid,strong,drop,success,success,success,drop,high,drop,llm_final_decision,False,False,tn,0.0,-1,False,drop,drop,True,uncertain_score_band|border_touching|duplicate_cluster,success,retrieve_same_class_image_crops|retrieve_class_exemplars,same_class_image_crops|class_exemplars
10,5,pottedplant,0.1502685546875,3.0,89.0,640.0,668.0,invalid,strong,drop,success,success,success,drop,high,drop,llm_final_decision,False,False,tn,0.0,-1,False,drop,drop,True,uncertain_score_band|border_touching|duplicate_cluster,success,retrieve_same_class_image_crops|retrieve_class_exemplars,same_class_image_crops|class_exemplars
12,0,bird,0.287841796875,315.0,199.0,355.0,227.0,invalid,strong,drop,success,success,success,drop,high,drop,llm_final_decision,False,False,tn,0.0,-1,False,keep,drop,True,uncertain_score_band|small_box|top_score_sanity_check,not_called,,
12,1,bird,0.1063232421875,345.0,160.0,375.0,182.0,invalid,strong,drop,success,success,success,drop,high,drop,llm_final_decision,False,False,tn,0.0,-1,False,drop,drop,True,uncertain_score_band|small_box|top_score_sanity_check,not_called,,
13,0,bird,0.2186279296875,89.0,0.0,640.0,829.0,valid,strong,keep,success,success,success,keep,high,keep,llm_final_decision,False,True,tp,0.529615,0,False,keep,keep,True,uncertain_score_band|border_touching|duplicate_cluster|top_score_sanity_check,success,retrieve_same_class_image_crops|retrieve_class_exemplars,same_class_image_crops|class_exemplars
13,1,bird,0.1502685546875,88.0,47.0,637.0,641.0,invalid,strong,drop,success,success,success,drop,high,drop,llm_final_decision,False,True,fn,0.540391,0,False,drop,drop,True,uncertain_score_band|border_touching|duplicate_cluster|top_score_sanity_check,success,retrieve_same_class_image_crops,same_class_image_crops
15,0,pottedplant,0.449462890625,520.0,73.0,577.0,93.0,invalid,strong,drop,success,success,success,drop,high,drop,llm_final_decision,False,False,tn,0.0,-1,False,keep,drop,True,small_box|duplicate_cluster|top_score_sanity_check,success,retrieve_class_exemplars,class_exemplars
15,1,pottedplant,0.393310546875,201.0,74.0,242.0,93.0,invalid,strong,drop,success,success,success,drop,high,drop,llm_final_decision,False,False,tn,0.0,-1,False,keep,drop,True,small_box|duplicate_cluster|top_score_sanity_check,success,retrieve_same_class_image_crops|retrieve_class_exemplars,same_class_image_crops|class_exemplars
15,2,pottedplant,0.350341796875,464.0,73.0,506.0,94.0,invalid,strong,drop,success,success,success,drop,high,drop,llm_final_decision,False,False,tn,0.0,-1,False,keep,drop,True,small_box|duplicate_cluster,success,retrieve_same_class_image_crops|retrieve_class_exemplars,same_class_image_crops|class_exemplars
15,3,pottedplant,0.3447265625,392.0,72.0,449.0,94.0,invalid,strong,drop,success,success,success,drop,high,drop,llm_final_decision,False,False,tn,0.0,-1,False,keep,drop,True,small_box|duplicate_cluster,success,retrieve_same_class_image_crops,same_class_image_crops
15,4,pottedplant,0.2783203125,330.0,73.0,374.0,94.0,invalid,strong,drop,success,success,success,drop,high,drop,llm_final_decision,False,False,tn,0.0,-1,False,keep,drop,True,uncertain_score_band|small_box|duplicate_cluster,success,retrieve_same_class_image_crops,same_class_image_crops
15,5,motorbike,0.2410888671875,521.0,342.0,640.0,627.0,invalid,strong,drop,success,success,success,drop,high,drop,llm_final_decision,False,False,tn,0.0,-1,False,keep,drop,True,uncertain_score_band|border_touching|duplicate_cluster,success,retrieve_same_class_image_crops|retrieve_class_exemplars,same_class_image_crops|class_exemplars
15,6,pottedplant,0.21630859375,259.0,73.0,314.0,94.0,invalid,strong,drop,success,success,success,drop,high,drop,llm_final_decision,False,False,tn,0.0,-1,False,keep,drop,True,uncertain_score_band|small_box,not_called,,
15,7,person,0.202392578125,521.0,342.0,640.0,627.0,invalid,strong,drop,success,success,success,drop,high,drop,llm_final_decision,False,False,tn,0.129492,0,False,keep,drop,True,uncertain_score_band|border_touching|duplicate_cluster,success,retrieve_same_class_image_crops,same_class_image_crops
15,8,sheep,0.16943359375,201.0,74.0,242.0,93.0,invalid,strong,drop,success,success,success,drop,high,drop,llm_final_decision,False,False,tn,0.0,-1,False,drop,drop,True,uncertain_score_band|small_box|duplicate_cluster,success,retrieve_class_exemplars,class_exemplars
15,9,pottedplant,0.15380859375,130.0,71.0,185.0,93.0,invalid,strong,drop,success,success,success,drop,high,drop,llm_final_decision,False,False,tn,0.0,-1,False,drop,drop,True,uncertain_score_band|small_box,not_called,,
15,10,sheep,0.1507568359375,392.0,72.0,449.0,94.0,invalid,strong,drop,success,success,success,drop,high,drop,llm_final_decision,False,False,tn,0.0,-1,False,drop,drop,True,uncertain_score_band|small_box|duplicate_cluster,success,retrieve_class_exemplars,class_exemplars
15,11,sheep,0.1488037109375,464.0,73.0,506.0,94.0,invalid,strong,drop,success,success,success,drop,high,drop,llm_final_decision,False,False,tn,0.0,-1,False,drop,drop,True,uncertain_score_band|small_box|duplicate_cluster,success,retrieve_class_exemplars,class_exemplars
15,12,sheep,0.1444091796875,330.0,73.0,374.0,94.0,invalid,strong,drop,success,success,success,drop,high,drop,llm_final_decision,False,False,tn,0.0,-1,False,drop,drop,True,uncertain_score_band|small_box|duplicate_cluster,success,retrieve_class_exemplars,class_exemplars
15,13,bicycle,0.13427734375,521.0,342.0,640.0,627.0,invalid,strong,drop,success,success,success,drop,high,drop,llm_final_decision,False,False,tn,0.0,-1,False,drop,drop,True,uncertain_score_band|border_touching|duplicate_cluster,success,retrieve_same_class_image_crops,same_class_image_crops
15,14,bottle,0.1202392578125,190.0,456.0,221.0,506.0,invalid,strong,drop,success,success,success,drop,high,drop,llm_final_decision,False,False,tn,0.0,-1,False,drop,drop,True,uncertain_score_band|small_box,not_called,,
15,15,sheep,0.1175537109375,520.0,73.0,577.0,93.0,invalid,strong,drop,success,success,success,drop,high,drop,llm_final_decision,False,False,tn,0.0,-1,False,drop,drop,True,uncertain_score_band|small_box|duplicate_cluster,success,retrieve_class_exemplars,class_exemplars
16,0,bird,0.75341796875,639.0,21.0,640.0,111.0,unavailable,unavailable,drop,not_candidate_heuristic,success,not_called,keep,,keep,deterministic_gate,True,False,fp,0.0,-1,True,keep,keep,False,,not_called,,
16,1,cow,0.27783203125,605.0,328.0,640.0,640.0,invalid,strong,drop,success,success,success,drop,high,drop,llm_final_decision,False,False,tn,0.03382,4,False,keep,drop,True,uncertain_score_band|border_touching|top_score_sanity_check,not_called,,
16,2,person,0.24365234375,628.0,329.0,640.0,425.0,unavailable,unavailable,drop,not_candidate_heuristic,success,not_called,keep,,keep,deterministic_gate,True,False,fp,0.0,-1,True,keep,keep,False,,not_called,,
16,3,cow,0.23974609375,628.0,329.0,640.0,425.0,unavailable,unavailable,drop,not_candidate_heuristic,success,not_called,keep,,keep,deterministic_gate,True,False,fp,0.0,-1,True,keep,keep,False,,not_called,,
16,4,chair,0.1781005859375,23.0,416.0,363.0,640.0,invalid,strong,drop,success,success,success,drop,high,drop,llm_final_decision,False,False,tn,0.0,-1,False,drop,drop,True,uncertain_score_band|border_touching|duplicate_cluster|top_score_sanity_check,success,retrieve_same_class_image_crops,same_class_image_crops
16,5,car,0.1663818359375,0.0,303.0,20.0,369.0,invalid,strong,drop,success,success,success,drop,high,drop,llm_final_decision,False,False,tn,0.0,-1,False,drop,drop,True,uncertain_score_band|border_touching|small_box,not_called,,
16,6,sheep,0.1458740234375,628.0,329.0,640.0,425.0,unavailable,unavailable,drop,not_candidate_heuristic,success,not_called,drop,,drop,deterministic_gate,True,False,tn,0.0,-1,True,drop,drop,False,,not_called,,
16,7,cat,0.1358642578125,318.0,202.0,462.0,271.0,invalid,strong,drop,success,success,success,drop,high,drop,llm_final_decision,False,False,tn,0.116469,1,False,drop,drop,True,uncertain_score_band,not_called,,
16,8,sofa,0.129638671875,24.0,360.0,369.0,640.0,invalid,strong,drop,success,success,success,drop,high,drop,llm_final_decision,False,False,tn,0.0,-1,False,drop,drop,True,uncertain_score_band|border_touching|duplicate_cluster,success,retrieve_same_class_image_crops,same_class_image_crops
16,9,dog,0.11358642578125,628.0,329.0,640.0,425.0,unavailable,unavailable,drop,not_candidate_heuristic,success,not_called,drop,,drop,deterministic_gate,True,False,tn,0.0,-1,True,drop,drop,False,,not_called,,
22,0,chair,0.474609375,1.0,5.0,426.0,625.0,invalid,strong,drop,success,success,success,drop,high,drop,llm_final_decision,False,False,tn,0.054889,0,False,keep,drop,True,border_touching|duplicate_cluster|top_score_sanity_check,success,retrieve_same_class_image_crops,same_class_image_crops
22,1,chair,0.296142578125,69.0,5.0,718.0,625.0,invalid,strong,drop,success,success,success,drop,high,drop,llm_final_decision,False,False,tn,0.042742,1,False,keep,drop,True,uncertain_score_band|border_touching|duplicate_cluster|top_score_sanity_check,success,retrieve_same_class_image_crops|retrieve_class_exemplars,same_class_image_crops|class_exemplars
22,2,chair,0.2509765625,68.0,166.0,414.0,623.0,invalid,strong,drop,success,success,success,drop,high,drop,llm_final_decision,False,False,tn,0.091643,0,False,keep,drop,True,uncertain_score_band|border_touching|duplicate_cluster,success,retrieve_same_class_image_crops|retrieve_class_exemplars,same_class_image_crops|class_exemplars
22,3,chair,0.239013671875,0.0,191.0,135.0,640.0,valid,strong,keep,success,success,success,keep,medium,keep,llm_final_decision,False,False,fp,0.074299,0,False,keep,keep,True,uncertain_score_band|border_touching,not_called,,
22,4,chair,0.204345703125,388.0,483.0,584.0,628.0,invalid,strong,drop,success,success,success,drop,high,drop,llm_final_decision,False,False,tn,0.195532,1,False,keep,drop,True,uncertain_score_band|border_touching,not_called,,
22,5,chair,0.1781005859375,330.0,94.0,718.0,623.0,invalid,strong,drop,success,success,success,drop,high,drop,llm_final_decision,False,False,tn,0.070185,1,False,drop,drop,True,uncertain_score_band|border_touching|duplicate_cluster,success,retrieve_same_class_image_crops|retrieve_class_exemplars,same_class_image_crops|class_exemplars
22,6,chair,0.1458740234375,180.0,167.0,644.0,621.0,invalid,strong,drop,success,success,success,drop,high,drop,llm_final_decision,False,False,tn,0.09101,1,False,drop,drop,True,uncertain_score_band|border_touching|duplicate_cluster,success,retrieve_same_class_image_crops|retrieve_class_exemplars,same_class_image_crops|class_exemplars
22,7,diningtable,0.12744140625,68.0,165.0,718.0,625.0,invalid,strong,drop,success,success,success,drop,high,drop,llm_final_decision,False,False,tn,0.0,-1,False,drop,drop,True,uncertain_score_band|border_touching|duplicate_cluster,success,retrieve_same_class_image_crops|retrieve_class_exemplars,same_class_image_crops|class_exemplars
22,8,diningtable,0.10614013671875,74.0,377.0,718.0,625.0,invalid,strong,drop,success,success,success,drop,high,drop,llm_final_decision,False,False,tn,0.0,-1,False,drop,drop,True,uncertain_score_band|border_touching|duplicate_cluster,success,retrieve_same_class_image_crops|retrieve_class_exemplars,same_class_image_crops|class_exemplars
22,9,diningtable,0.10302734375,588.0,373.0,718.0,620.0,invalid,strong,drop,success,success,success,drop,high,drop,llm_final_decision,False,False,tn,0.0,-1,False,drop,drop,True,uncertain_score_band|border_touching,not_called,,
22,10,diningtable,0.1026611328125,344.0,165.0,718.0,624.0,invalid,strong,drop,success,success,success,drop,high,drop,llm_final_decision,False,False,tn,0.0,-1,False,drop,drop,True,uncertain_score_band|border_touching|duplicate_cluster,success,retrieve_same_class_image_crops|retrieve_class_exemplars,same_class_image_crops|class_exemplars
22,11,chair,0.10089111328125,3.0,3.0,638.0,556.0,invalid,strong,drop,success,success,success,drop,high,drop,llm_final_decision,False,False,tn,0.038024,1,False,drop,drop,True,uncertain_score_band|border_touching|duplicate_cluster,success,retrieve_same_class_image_crops|retrieve_class_exemplars,same_class_image_crops|class_exemplars
23,0,pottedplant,0.310791015625,47.0,36.0,501.0,588.0,invalid,strong,drop,success,success,success,drop,high,drop,llm_final_decision,False,False,tn,0.403723,0,False,keep,drop,True,top_score_sanity_check,not_called,,
23,1,tvmonitor,0.2486572265625,277.0,394.0,850.0,630.0,invalid,strong,drop,success,success,success,drop,high,drop,llm_final_decision,False,False,tn,0.0,-1,False,keep,drop,True,uncertain_score_band|border_touching|duplicate_cluster|top_score_sanity_check,success,retrieve_same_class_image_crops|retrieve_class_exemplars,same_class_image_crops|class_exemplars
23,2,chair,0.173828125,277.0,394.0,850.0,630.0,invalid,strong,drop,success,success,success,drop,high,drop,llm_final_decision,False,False,tn,0.0,-1,False,drop,drop,True,uncertain_score_band|border_touching|duplicate_cluster,success,retrieve_same_class_image_crops,same_class_image_crops
23,3,diningtable,0.169189453125,277.0,394.0,850.0,630.0,invalid,strong,drop,success,success,success,drop,high,drop,llm_final_decision,False,False,tn,0.0,-1,False,drop,drop,True,uncertain_score_band|border_touching|duplicate_cluster,success,retrieve_same_class_image_crops|retrieve_class_exemplars,same_class_image_crops|class_exemplars
23,4,sofa,0.1143798828125,277.0,394.0,850.0,630.0,invalid,strong,drop,success,success,success,drop,high,drop,llm_final_decision,False,False,tn,0.0,-1,False,drop,drop,True,uncertain_score_band|border_touching|duplicate_cluster,success,retrieve_same_class_image_crops|retrieve_class_exemplars,same_class_image_crops|class_exemplars
23,5,car,0.11065673828125,277.0,394.0,850.0,630.0,invalid,strong,drop,success,success,success,drop,high,drop,llm_final_decision,False,False,tn,0.0,-1,False,drop,drop,True,uncertain_score_band|border_touching|duplicate_cluster,success,retrieve_same_class_image_crops,same_class_image_crops
24,0,train,0.791015625,1.0,80.0,640.0,624.0,valid,strong,keep,success,success,success,keep,high,keep,llm_final_decision,False,True,tp,0.53065,0,False,keep,keep,True,border_touching|top_score_sanity_check,not_called,,
28,0,pottedplant,0.33154296875,365.0,1.0,640.0,712.0,invalid,strong,drop,success,success,success,drop,high,drop,llm_final_decision,False,False,tn,0.0,-1,False,keep,drop,True,border_touching|top_score_sanity_check,not_called,,
28,1,bird,0.304931640625,1.0,38.0,333.0,708.0,valid,strong,keep,success,success,success,keep,high,keep,llm_final_decision,False,False,fp,0.252167,0,False,keep,keep,True,border_touching|duplicate_cluster|top_score_sanity_check,success,retrieve_same_class_image_crops|retrieve_class_exemplars,same_class_image_crops|class_exemplars
28,2,bird,0.281005859375,1.0,298.0,331.0,705.0,valid,strong,keep,success,success,success,keep,high,keep,llm_final_decision,False,False,fp,0.418039,0,False,keep,keep,True,uncertain_score_band|border_touching|duplicate_cluster,success,retrieve_same_class_image_crops|retrieve_class_exemplars,same_class_image_crops|class_exemplars
28,3,pottedplant,0.191650390625,1.0,38.0,333.0,708.0,invalid,strong,drop,success,success,success,drop,high,drop,llm_final_decision,False,False,tn,0.0,-1,False,drop,drop,True,uncertain_score_band|border_touching|duplicate_cluster,success,retrieve_same_class_image_crops|retrieve_class_exemplars,same_class_image_crops|class_exemplars
28,4,cat,0.1396484375,1.0,298.0,331.0,705.0,invalid,strong,drop,success,success,success,drop,high,drop,llm_final_decision,False,False,tn,0.0,-1,False,drop,drop,True,uncertain_score_band|border_touching|duplicate_cluster,success,retrieve_same_class_image_crops|retrieve_class_exemplars,same_class_image_crops|class_exemplars
29,0,tvmonitor,0.71044921875,1.0,151.0,320.0,475.0,valid,strong,keep,success,success,success,keep,high,keep,llm_final_decision,False,True,tp,0.753682,0,False,keep,keep,True,border_touching|duplicate_cluster|top_score_sanity_check,success,retrieve_same_class_image_crops|retrieve_class_exemplars,same_class_image_crops|class_exemplars
29,1,chair,0.23583984375,1.0,150.0,530.0,640.0,invalid,strong,drop,success,success,success,drop,high,drop,llm_final_decision,False,False,tn,0.065593,2,False,keep,drop,True,uncertain_score_band|border_touching|duplicate_cluster|top_score_sanity_check,success,retrieve_same_class_image_crops,same_class_image_crops
29,2,chair,0.1995849609375,336.0,505.0,590.0,640.0,valid,strong,keep,success,success,success,keep,high,keep,llm_final_decision,False,False,fp,0.293951,2,False,drop,keep,True,uncertain_score_band|border_touching|duplicate_cluster,success,retrieve_same_class_image_crops|retrieve_class_exemplars,same_class_image_crops|class_exemplars
29,3,chair,0.1993408203125,415.0,505.0,591.0,640.0,valid,strong,keep,success,success,success,keep,high,keep,llm_final_decision,False,False,fp,0.397176,2,False,drop,keep,True,uncertain_score_band|border_touching|duplicate_cluster,success,retrieve_same_class_image_crops|retrieve_class_exemplars,same_class_image_crops|class_exemplars
29,4,cat,0.1632080078125,1.0,151.0,492.0,640.0,invalid,strong,drop,success,success,success,drop,high,drop,llm_final_decision,False,False,tn,0.0,-1,False,drop,drop,True,uncertain_score_band|border_touching|duplicate_cluster,success,retrieve_same_class_image_crops,same_class_image_crops
29,5,chair,0.157958984375,1.0,0.0,685.0,640.0,invalid,strong,drop,success,success,success,drop,high,drop,llm_final_decision,False,False,tn,0.066222,2,False,drop,drop,True,uncertain_score_band|border_touching|duplicate_cluster,success,retrieve_same_class_image_crops,same_class_image_crops
29,6,tvmonitor,0.132568359375,1.0,150.0,530.0,640.0,invalid,strong,drop,success,success,success,drop,high,drop,llm_final_decision,False,False,tn,0.300608,0,False,drop,drop,True,uncertain_score_band|border_touching|duplicate_cluster,success,retrieve_same_class_image_crops|retrieve_class_exemplars,same_class_image_crops|class_exemplars
29,7,diningtable,0.1048583984375,3.0,444.0,500.0,640.0,invalid,strong,drop,success,success,success,drop,high,drop,llm_final_decision,False,False,tn,0.0,-1,False,drop,drop,True,uncertain_score_band|border_touching,not_called,,
29,8,diningtable,0.1041259765625,1.0,0.0,685.0,640.0,invalid,strong,drop,success,success,success,drop,high,drop,llm_final_decision,False,False,tn,0.0,-1,False,drop,drop,True,uncertain_score_band|border_touching|duplicate_cluster,success,retrieve_same_class_image_crops|retrieve_class_exemplars,same_class_image_crops|class_exemplars
30,0,person,0.638671875,188.0,350.0,433.0,682.0,valid,strong,keep,success,success,success,keep,high,keep,llm_final_decision,False,False,fp,0.495772,1,False,keep,keep,True,duplicate_cluster|top_score_sanity_check,success,retrieve_same_class_image_crops,same_class_image_crops
30,1,person,0.6103515625,459.0,127.0,603.0,301.0,valid,strong,keep,success,success,success,keep,high,keep,llm_final_decision,False,True,tp,0.532761,4,False,keep,keep,True,top_score_sanity_check,not_called,,
30,2,person,0.42529296875,3.0,153.0,197.0,295.0,valid,strong,keep,success,success,success,keep,medium,keep,llm_final_decision,False,True,tp,0.889059,8,False,keep,keep,True,border_touching,not_called,,
30,3,person,0.325439453125,312.0,422.0,579.0,722.0,invalid,strong,drop,success,success,success,drop,high,drop,llm_final_decision,False,True,fn,0.58244,2,False,keep,drop,True,border_touching|duplicate_cluster,success,retrieve_same_class_image_crops,same_class_image_crops
30,4,person,0.32177734375,525.0,313.0,640.0,587.0,valid,strong,keep,success,success,success,keep,medium,keep,llm_final_decision,False,False,fp,0.43104,3,False,keep,keep,True,border_touching,not_called,,
30,5,chair,0.31494140625,312.0,422.0,579.0,722.0,invalid,strong,drop,success,success,success,drop,high,drop,llm_final_decision,False,True,fn,0.520364,12,False,keep,drop,True,border_touching|duplicate_cluster,success,retrieve_same_class_image_crops|retrieve_class_exemplars,same_class_image_crops|class_exemplars
